ticket_number,date,time,article,Quantity,unit_price_euro
150550,04/01/2021,13:31:00,special   bread,1,2.4
150551,04/01/2021,13:34:00,COUPE,1,0.15
150551,04/01/2021,13:34:00,COMPLET,1,€ 1.5
150552,04/01/2021,13:39:00,SPECIAL BREAD,1,2.4
150555,04/01/2021,13:44:00,BANETTE,3,1.05
150556,01/04/2021,13:45:00,PAIN AUX RAISINS,2,1.4
150556,04/01/2021,13:45:00,SPECIAL BREAD,1,2.4
150560,04/01/2021,13:56:00,CAFE OU EAU,2,1
150563,04/01/2021,14:02:00,DIVERS SANDWICHS,1,2.5
150566,04/01/2021,17:37:00,BOULE 200G,1,1.1
150566,04/01/2021,17:37:00,COUPE,1,0.15
150569,04/01/2021,17:44:00,BAGUETTE,1,0.9
150574,04/01/2021,18:10:00,SPECIAL BREAD,1,"2,4"
150575,04/01/2021,18:01:00,TRADITIONAL BAGUETTE,1,1.2
150576,04/01/2021,9:37 AM,,1,1.2
150580,04/01/2021,18:45:00,CEREAL BAGUETTE,1,1.25
150581,04/01/2021,18:52:00,TRADITIONAL BAGUETTE,1,1.2
150584,04/01/2021,18:59:00,TRADITIONAL BAGUETTE,3,1.2
150588,04/01/2021,19:10:00,BANETTE,1,1.05
150590,04/01/2021,19:18:00,TRADITIONAL BAGUETTE,1,1.2
150591,04/01/2021,19:26:00,TRADITIONAL BAGUETTE,4,1.2
150594,04/01/2021,19:43:00,BAGUETTE,2,0.9
150596,04/01/2021,19:53:00,DIVERS VIENNOISERIE,1,6
150599,05/01/2021,08:56:00,CROISSANT,2,1.1
150601,05/01/2021,09:01:00,CROISSANT,1,1.1
150602,05/01/2021,09:01:00,COOKIE,1,
150605,05/01/2021,09:32:00,TRADITIONAL BAGUETTE,1,1.2
150607,05/01/2021,09:37:00,BOISSON 33CL,1,1.5
150609,05/01/2021,09:49:00,DEMI BAGUETTE,1,0.45
150610,05/01/2021,09:56:00,TRADITIONAL BAGUETTE,1,1.2
150611,05/01/2021,09:59:00,TRADITIONAL BAGUETTE,1,1.2
150613,05/01/2021,10:01:00,TRADITIONAL BAGUETTE,1,
150618,05/01/2021,10:26:00,CROISSANT,1,1.1
150620,05/01/2021,10:34:00,BANETTINE,1,0.6
150621,05/01/2021,10:38:00,BANETTE,3,1.05
150621,05/01/2021,10:38:00,FICELLE,1,0.6
150622,05/01/2021,10:43:00,CAMPAGNE,1,1.8
150623,05/01/2021,10:46:00,PAIN CHOCO AMANDES,1,1.5
150624,05/01/2021,10:46:00,BAGUETTE,1,0.9
150626,05/01/2021,10:57:00,BANETTINE,1,0.6
150627,05/01/2021,11:02:00,BANETTE,1,1.05
150629,05/01/2021,11:06:00,GAL FRANGIPANE 6P,1,12
150636,05/01/2021,11:20:00,TRADITIONAL BAGUETTE,10,1.2
150638,05/01/2021,11:23:00,PAIN AU CHOCOLAT,1,1.2
150638,05/01/2021,11:23:00,CROISSANT,1,1.1
150639,05/01/2021,11:26:00,BOULE 400G,1,1.5
150639,05/01/2021,11:26:00,FICELLE,1,0.6
150639,05/01/2021,11:26:00,COUPE,1,0.15
150641,05/01/2021,01:15:00,MOISSON,1,2
150642,05/01/2021,11:35:00,TRADITIONAL BAGUETTE,1,1.2
150643,05/01/2021,11:36:00,FICELLE,1,€ 0.6
150644,05/01/2021,11:41:00,BAGUETTE,2,0.9
150645,05/01/2021,11:42:00,SACHET VIENNOISERIE,1,4
150646,05/01/2021,11:42:00,TRADITIONAL BAGUETTE,1,1.2
150650,05/01/2021,11:47:00,BAGUETTE,1,0.9
150651,05/01/2021,11:47:00,BANETTE,2,1.05
150653,05/01/2021,11:52:00,COUPE,1,0.15
150653,05/01/2021,11:52:00,MOISSON,1,2
150654,05/01/2021,11:56:00,BAGUETTE,1,0.9
150656,05/01/2021,12:03:00,TRADITIONAL BAGUETTE,1,1.2
150657,05/01/2021,12:04:00,TRADITIONAL BAGUETTE,1,1.2
150659,05/01/2021,12:07:00,TRADITIONAL BAGUETTE,1,1.2
150661,05/01/2021,12:14:00,PAIN AU CHOCOLAT,1,1.2
150661,05/01/2021,12:14:00,COOKIE,5,1
150662,05/01/2021,12:15:00,CAFE OU EAU,1,1
150662,05/01/2021,12:15:00,QUIM BREAD,1,1
150663,05/01/2021,12:17:00,TRADITIONAL BAGUETTE,1,1.2
150666,05/01/2021,12:21:00,CEREAL BAGUETTE,1,1.25
150673,05/01/2021,12:29:00,TRADITIONAL BAGUETTE,2,1.2
150675,05/01/2021,12:38:00,BOULE 400G,1,1.5
150675,05/01/2021,12:38:00,COUPE,1,0.15
150675,05/01/2021,12:38:00,COUPE,1,0.15
150676,05/01/2021,12:39:00,TRADITIONAL BAGUETTE,1,1.2
150679,05/01/2021,12:46:00,FORMULE SANDWICH,3,6.5
150681,05/01/2021,12:48:00,BRIOCHE,1,5
150682,05/01/2021,12:54:00,unknown,1,1.2
150684,05/01/2021,12:59:00,COUPE,1,0.15
150684,05/01/2021,12:59:00,SPECIAL BREAD,1,2.4
150686,05/01/2021,13:02:00,DIVERS SANDWICHS,1,5
150688,05/01/2021,13:03:00,TRADITIONAL BAGUETTE,1,1.2
150690,05/01/2021,13:05:00,SANDWICH COMPLET,1,4.5
150690,05/01/2021,13:05:00,BOISSON 33CL,1,1.5
150691,05/01/2021,13:07:00,PAIN BANETTE,1,1.4
150692,05/01/2021,13:09:00,CAMPAGNE,1,1.8
150694,05/01/2021,13:12:00,SPECIAL BREAD,1,2.4
150696,05/01/2021,13:14:00,SPECIAL BREAD,1,2.4
150696,05/01/2021,13:14:00,,1,4
150697,05/01/2021,13:22:00,FORMULE SANDWICH,1,6.5
150699,05/01/2021,13:30:00,BANETTE,1,1.05
150700,05/01/2021,13:35:00,TRADITIONAL BAGUETTE,1,1.2
150702,05/01/2021,13:42:00,DIVERS SANDWICHS,1,2.5
150702,05/01/2021,13:42:00,MOISSON,1,2
150702,05/01/2021,13:42:00,FORMULE SANDWICH,2,6.5
150703,05/01/2021,13:44:00,TRADITIONAL BAGUETTE,2,1.2
150704,05/01/2021,13:44:00,CEREAL BAGUETTE,1,1.25
150705,05/01/2021,13:44:00,TRADITIONAL BAGUETTE,2,€ 1.2
150706,05/01/2021,13:47:00,FORMULE SANDWICH,1,6.5
150708,05/01/2021,13:50:00,FORMULE SANDWICH,1,6.5
150709,01/05/2021,13:51:00,TRADITIONAL BAGUETTE,4,€ 1.2
150711,05/01/2021,13:59:00,unknown,1,6.5
150713,05/01/2021,14:05:00,SANDWICH COMPLET,2,4.5
150714,05/01/2021,14:05:00,TRADITIONAL BAGUETTE,1,1.2
150715,05/01/2021,17:29:00,TRADITIONAL BAGUETTE,1,1.2
150719,05/01/2021,17:45:00,QUIM BREAD,1,1
150725,05/01/2021,17:59:00,COMPLET,1,€ 1.5
150725,05/01/2021,17:59:00,COUPE,2,0.15
150726,05/01/2021,18:02:00,PAIN AU CHOCOLAT,1,1.2
150729,05/01/2021,9:37 AM,TRADITIONAL BAGUETTE,1,1.2
150731,05/01/2021,18:28:00,BANETTE,1,1.05
150732,05/01/2021,18:29:00,TRADITIONAL BAGUETTE,2,1.2
150735,05/01/2021,18:49:00,TRADITIONAL BAGUETTE,1,€ 1.2
150736,05/01/2021,18:51:00,TRADITIONAL BAGUETTE,1,1.2
150737,05/01/2021,18:58:00,SPECIAL BREAD,1,2.4
150738,05/01/2021,19:00:00,DIVERS PATISSERIE,-1,6
150738,05/01/2021,19:00:00,DIVERS BOULANGERIE,-1,2
150738,05/01/2021,19:00:00,SPECIAL BREAD,-1,2.4
150741,05/01/2021,19:04:00,TRADITIONAL BAGUETTE,1,1.2
150742,05/01/2021,19:08:00,CEREAL BAGUETTE,1,1.25
150745,05/01/2021,19:22:00,PAIN CHOCO AMANDES,2,1.5
150745,05/01/2021,19:22:00,TRADITIONAL BAGUETTE,1,1.2
150745,05/01/2021,19:22:00,PAIN AUX RAISINS,2,1.4
150746,05/01/2021,19:01:00,BOULE 200G,2,1.1
150746,05/01/2021,19:01:00,COUPE,2,0.15
150748,05/01/2021,19:32:00,TRADITIONAL BAGUETTE,2,1.2
150749,05/01/2021,19:36:00,BAGUETTE,1,0.9
150750,05/01/2021,19:41:00,  MOISSON  ,1,2
150753,07/01/2021,08:36:00,CROISSANT,2,1.1
150754,07/01/2021,08:57:00,CAFE OU EAU,1,1
150755,07/01/2021,09:02:00,TRADITIONAL BAGUETTE,1,€ 1.2
150756,07/01/2021,09:13:00,BAGUETTE,1,0.9
150758,07/01/2021,09:19:00,TRADITIONAL BAGUETTE,-1,1.2
150758,07/01/2021,09:19:00,CROISSANT AMANDES,1,1.4
150759,07/01/2021,09:20:00,BAGUETTE,1,0.9
150759,07/01/2021,09:20:00,BOULE 400G,1,1.5
150760,07/01/2021,09:43:00,PAIN,2,1.15
150761,07/01/2021,09:49:00,COUPE,2,0.15
150761,07/01/2021,09:49:00,BOULE 200G,1,1.1
150761,07/01/2021,09:49:00,PAIN AUX RAISINS,2,1.4
150764,07/01/2021,10:18:00,TRADITIONAL BAGUETTE,4,1.2
150765,07/01/2021,10:22:00,CAFE OU EAU,1,1
150768,07/01/2021,10:31:00,TRADITIONAL BAGUETTE,1,1.2
150769,07/01/2021,10:31:00,BAGUETTE,2,0.9
150770,07/01/2021,10:34:00,TRADITIONAL BAGUETTE,7,1.2
150771,07/01/2021,10:35:00,PAIN,1,1.15
150774,07/01/2021,10:45:00,DIVERS SANDWICHS,1,2.5
150774,07/01/2021,10:45:00,CAFE OU EAU,1,1
150776,07/01/2021,10:55:00,TRADITIONAL BAGUETTE,1,1.2
150777,07/01/2021,01:15:00,DIVERS CONFISERIE,1,3
150778,07/01/2021,11:06:00,GAL FRANGIPANE 6P,1,12
150778,07/01/2021,11:06:00,COUPE,3,0.15
150778,07/01/2021,11:06:00,BOULE 200G,3,1.1
150779,07/01/2021,11:07:00,TRADITIONAL BAGUETTE,2,1.2
150780,07/01/2021,11:10:00,TRADITIONAL BAGUETTE,2,1.2
150782,07/01/2021,11:15:00,GAL POMME 4P,1,8
150782,07/01/2021,00:00:00,TRADITIONAL BAGUETTE,1,1.2
150782,07/01/2021,11:15:00,COUPE,3,0.15
150785,07/01/2021,11:28:00,MOISSON,1,2
150785,07/01/2021,11:28:00,COUPE,1,
150787,07/01/2021,11:29:00,BAGUETTE,1,0.9
150789,07/01/2021,11:30:00,GAL FRANGIPANE 4P,1,8
150790,07/01/2021,11:34:00,PAIN AU CHOCOLAT,1,1.2
150797,07/01/2021,11:46:00,  BAGUETTE  ,1,0.9
150799,07/01/2021,11:53:00,CEREAL BAGUETTE,2,1.25
150800,07/01/2021,11:53:00,SPECIAL BREAD KG,1,4.8
150800,07/01/2021,11:53:00,BAGUETTE,1,0.9
150801,07/01/2021,11:54:00,GAL FRANGIPANE 4P,1,8
150801,07/01/2021,11:54:00,BAGUETTE,1,0.9
150803,07/01/2021,11:55:00,BANETTE,1,1.05
150804,07/01/2021,11:56:00,BAGUETTE,1,0.9
150808,07/01/2021,12:00:00,BANETTE,2,1.05
150810,07/01/2021,12:01:00,CAMPAGNE,2,1.8
150810,07/01/2021,12:01:00,COUPE,2,0.15
150810,07/01/2021,12:01:00,BAGUETTE,1,0.9
150819,07/01/2021,12:01:00,DEMI BAGUETTE,1,0.45
150824,07/01/2021,12:36:00,TRADITIONAL BAGUETTE,4,1.2
150825,07/01/2021,12:36:00,BAGUETTE,1,0.9
150826,07/01/2021,12:37:00,MOISSON,1,2
150826,07/01/2021,12:37:00,COUPE,1,0.15
150827,07/01/2021,12:38:00,,3,1.2
150828,07/01/2021,12:38:00,BANETTE,1,1.05
150830,07/01/2021,12:40:00,PAIN CHOCO AMANDES,1,1.5
150834,07/01/2021,12:42:00,TRADITIONAL BAGUETTE,1,1.2
150836,07/01/2021,12:46:00,TRADITIONAL BAGUETTE,1,1.2
150840,07/01/2021,12:52:00,TRADITIONAL BAGUETTE,1,1.2
150842,07/01/2021,12:54:00,COUPE,1,0.15
150842,07/01/2021,12:54:00,SPECIAL BREAD,1,2.4
150845,07/01/2021,12:58:00,DIVERS SANDWICHS,1,2.5
150846,07/01/2021,00:00:00,TRADITIONAL BAGUETTE,1,1.2
150847,07/01/2021,9:37 AM,TRADITIONAL BAGUETTE,1,1.2
150848,07/01/2021,13:02:00,FORMULE SANDWICH,2,6.5
150851,07/01/2021,13:08:00,TRADITIONAL BAGUETTE,1,1.2
150853,07/01/2021,13:09:00,TRADITIONAL BAGUETTE,2,1.2
150855,07/01/2021,13:10:00,TRADITIONAL BAGUETTE,3,1.2
150856,07/01/2021,13:12:00,FORMULE SANDWICH,1,6.5
150858,07/01/2021,13:16:00,FORMULE SANDWICH,1,6.5
150859,07/01/2021,13:18:00,COUPE,1,0.15
150859,07/01/2021,13:18:00,SPECIAL BREAD,2,2.4
150862,07/01/2021,13:19:00,CROISSANT AMANDES,1,1.4
150862,07/01/2021,13:19:00,TRADITIONAL BAGUETTE,1,1.2
150864,07/01/2021,13:21:00,CROISSANT AMANDES,1,1.4
150865,07/01/2021,13:22:00,TRADITIONAL BAGUETTE,2,1.2
150866,07/01/2021,01:15:00,BAGUETTE,1,0.9
150867,07/01/2021,13:24:00,BAGUETTE,1,0.9
150868,07/01/2021,13:30:00,SEIGLE,1,1.8
150871,07/01/2021,13:32:00,BANETTE,1,1.05
150874,07/01/2021,13:52:00,COUPE,1,0.15
150874,07/01/2021,13:52:00,TRADITIONAL BAGUETTE,1,1.2
150874,07/01/2021,13:52:00,COMPLET,1,1.5
150875,07/01/2021,13:54:00,TRADITIONAL BAGUETTE,2,1.2
150881,07/01/2021,18:09:00,DIVERS VIENNOISERIE,1,6
150882,07/01/2021,18:10:00,BAGUETTE,1,0.9
150885,07/01/2021,18:23:00,GAL FRANGIPANE 6P,1,12
150885,07/01/2021,18:23:00,TRADITIONAL BAGUETTE,1,1.2
150887,07/01/2021,18:31:00,  TRADITIONAL BAGUETTE  ,4,1.2
150888,07/01/2021,18:33:00,TRADITIONAL BAGUETTE,1,1.2
150890,07/01/2021,18:49:00,PAIN AU CHOCOLAT,1,1.2
150890,07/01/2021,18:49:00,TRADITIONAL BAGUETTE,1,1.2
150890,07/01/2021,18:49:00,PAIN AUX RAISINS,1,1.4
150893,07/01/2021,19:06:00,CEREAL BAGUETTE,1,1.25
150894,07/01/2021,19:14:00,TRADITIONAL BAGUETTE,1,1.2
150894,07/01/2021,19:14:00,SPECIAL BREAD,1,2.4
150898,07/01/2021,19:39:00,TRADITIONAL BAGUETTE,3,1.2
150901,08/01/2021,08:35:00,TRADITIONAL BAGUETTE,1,1.2
150902,08/01/2021,08:41:00,CROISSANT,3,1.1
150903,08/01/2021,08:44:00,PAIN AU CHOCOLAT,1,1.2
150904,08/01/2021,08:52:00,CROISSANT,10,1.1
150905,08/01/2021,08:57:00,PAIN AU CHOCOLAT,1,1.2
150906,08/01/2021,08:58:00,BAGUETTE,1,0.9
150907,08/01/2021,08:59:00,BAGUETTE,1,0.9
150907,08/01/2021,08:59:00,CROISSANT,1,1.1
150908,08/01/2021,09:03:00,BANETTE,1,1.05
150909,08/01/2021,09:05:00,TRADITIONAL BAGUETTE,1,1.2
150911,08/01/2021,09:23:00,BANETTE,1,1.05
150913,08/01/2021,09:32:00,PAIN AUX RAISINS,2,1.4
150914,08/01/2021,09:40:00,DIVERS SANDWICHS,1,5
150914,08/01/2021,09:40:00,QUIM BREAD,1,
150916,08/01/2021,09:55:00,BAGUETTE,1,0.9
150917,08/01/2021,09:57:00,PAIN AU CHOCOLAT,2,1.2
150918,08/01/2021,10:04:00,TRADITIONAL BAGUETTE,1,1.2
150919,01/08/2021,10:26:00,TRADITIONAL BAGUETTE,1,1.2
150919,08/01/2021,10:26:00,BANETTINE,1,0.6
150921,08/01/2021,10:42:00,  QUIM BREAD  ,1,1
150922,08/01/2021,10:46:00,,1,1.2
150923,08/01/2021,10:59:00,MOISSON,1,2
150923,08/01/2021,10:59:00,TRADITIONAL BAGUETTE,1,1.2
150924,08/01/2021,11:02:00,CROISSANT,2,1.1
150924,08/01/2021,11:02:00,PAIN AU CHOCOLAT,2,1.2
150925,08/01/2021,11:09:00,BAGUETTE,1,0.9
150927,08/01/2021,11:14:00,SEIGLE,1,1.8
150927,08/01/2021,11:14:00,TRADITIONAL BAGUETTE,1,1.2
150929,08/01/2021,11:21:00,COUPE,1,0.15
150930,08/01/2021,11:26:00,BANETTE,2,1.05
150932,08/01/2021,11:35:00,PAIN AUX RAISINS,1,1.4
150933,08/01/2021,11:36:00,BAGUETTE,1,0.9
150934,08/01/2021,11:38:00,PAIN BANETTE,1,1.4
150935,08/01/2021,11:39:00,COUPE,1,0.15
150940,08/01/2021,11:57:00,PAIN AU CHOCOLAT,2,1.2
150941,08/01/2021,11:58:00,COUPE,-1,0.15
150941,08/01/2021,11:58:00,BOULE 400G,-1,1.5
150941,08/01/2021,11:58:00,CROISSANT,-4,1.1
150942,08/01/2021,12:01:00,COUPE,2,0.15
150942,08/01/2021,12:01:00,COMPLET,2,1.5
150944,08/01/2021,12:03:00,COUPE,1,0.15
150944,08/01/2021,12:03:00,BOULE 400G,1,1.5
150946,08/01/2021,12:04:00,COUPE,1,0.15
150946,08/01/2021,12:04:00,COMPLET,1,1.5
150947,08/01/2021,12:07:00,BANETTE,1,1.05
150947,08/01/2021,12:07:00,BANETTINE,1,0.6
150948,08/01/2021,12:07:00,GAL FRANGIPANE 6P,1,12
150951,01/08/2021,12:12:00,BOULE 400G,1,1.5
150951,08/01/2021,12:12:00,PAIN AU CHOCOLAT,2,1.2
150951,08/01/2021,12:12:00,CROISSANT,4,1.1
150952,08/01/2021,12:14:00,SEIGLE,1,1.8
150955,08/01/2021,12:17:00,DEMI BAGUETTE,1,"0,45"
150956,08/01/2021,12:18:00,TRADITIONAL BAGUETTE,6,1.2
150957,08/01/2021,12:19:00,TRADITIONAL BAGUETTE,3,1.2
150958,08/01/2021,12:21:00,TRADITIONAL BAGUETTE,1,1.2
150959,08/01/2021,12:23:00,PAIN AU CHOCOLAT,2,1.2
150959,08/01/2021,12:23:00,COMPLET,2,1.5
150959,08/01/2021,12:23:00,CROISSANT,4,1.1
150960,08/01/2021,12:26:00,MOISSON,1,2
150960,08/01/2021,12:26:00,COUPE,1,0.15
150961,08/01/2021,12:26:00,GAL POMME 4P,1,8
150962,08/01/2021,12:28:00,CROISSANT,4,
150962,08/01/2021,12:28:00,PAIN AU CHOCOLAT,4,1.2
150962,08/01/2021,12:28:00,BRIOCHE,1,5
150963,08/01/2021,12:28:00,TRADITIONAL BAGUETTE,1,1.2
150964,08/01/2021,12:28:00,TRADITIONAL BAGUETTE,1,1.2
150967,08/01/2021,12:33:00,TRADITIONAL BAGUETTE,1,1.2
150968,08/01/2021,12:33:00,PAIN,1,1.15
150975,08/01/2021,12:45:00,PAIN AU CHOCOLAT,3,1.2
150980,08/01/2021,12:50:00,MOISSON,2,2
150981,08/01/2021,12:51:00,CEREAL BAGUETTE,-2,1.25
150981,08/01/2021,12:51:00,BOULE POLKA,2,1.6
150981,08/01/2021,12:51:00,BANETTE,2,1.05
150982,08/01/2021,12:53:00,PAIN BANETTE,1,1.4
150983,08/01/2021,12:56:00,SANDWICH COMPLET,1,4.5
150983,08/01/2021,12:56:00,FORMULE SANDWICH,1,6.5
150984,08/01/2021,13:00:00,COUPE,1,0.15
150984,08/01/2021,13:00:00,QUIM BREAD,1,1
150984,08/01/2021,13:00:00,GAL POMME 4P,-1,"8,0"
150984,08/01/2021,13:00:00,DIVERS VIENNOISERIE,1,6
150984,08/01/2021,13:00:00,BAGUETTE,2,0.9
150986,08/01/2021,13:02:00,CEREAL BAGUETTE,1,1.25
150987,08/01/2021,13:03:00,GAL FRANGIPANE 4P,1,8
150987,08/01/2021,13:03:00,BANETTINE,2,0.6
150988,08/01/2021,13:04:00,TRADITIONAL BAGUETTE,1,1.2
150989,08/01/2021,00:00:00,TRADITIONAL BAGUETTE,1,1.2
150990,08/01/2021,13:06:00,BOULE 200G,1,1.1
150990,08/01/2021,13:06:00,COUPE,1,0.15
150990,08/01/2021,13:06:00,FICELLE,1,0.6
150991,08/01/2021,9:37 AM,TRADITIONAL BAGUETTE,1,1.2
150991,08/01/2021,13:09:00,CAMPAGNE,1,1.8
150993,08/01/2021,13:14:00,  FORMULE SANDWICH  ,1,
150994,08/01/2021,13:15:00,SANDWICH COMPLET,1,4.5
150996,08/01/2021,13:16:00,BANETTE,1,1.05
151001,08/01/2021,13:28:00,TRADITIONAL BAGUETTE,1,1.2
151003,08/01/2021,13:31:00,  DIVERS VIENNOISERIE  ,1,4
151004,08/01/2021,13:35:00,QUIM BREAD,1,1
151005,08/01/2021,13:39:00,SANDWICH COMPLET,2,4.5
151007,08/01/2021,13:42:00,TRADITIONAL BAGUETTE,2,1.2
151009,08/01/2021,13:47:00,COOKIE,2,1
151009,08/01/2021,13:47:00,SANDWICH COMPLET,1,4.5
151009,08/01/2021,13:47:00,unknown,1,1.2
151009,08/01/2021,13:47:00,FORMULE SANDWICH,1,6.5
151010,08/01/2021,13:56:00,SANDWICH COMPLET,1,4.5
151011,08/01/2021,13:57:00,KOUIGN AMANN,1,2.1
151013,08/01/2021,01:15:00,TRADITIONAL BAGUETTE,2,1.2
151016,08/01/2021,17:34:00,GAL POMME 6P,1,12
151016,08/01/2021,17:34:00,TRADITIONAL BAGUETTE,1,1.2
151016,08/01/2021,17:34:00,GAL FRANGIPANE 4P,1,8
151019,08/01/2021,17:37:00,MOISSON,1,2
151021,08/01/2021,17:49:00,COUPE,1,0.15
151021,08/01/2021,17:49:00,BOULE 400G,1,1.5
151023,08/01/2021,17:59:00,COUPE,1,0.15
151023,08/01/2021,17:59:00,VIK BREAD,1,2.5
151025,08/01/2021,18:13:00,TRADITIONAL BAGUETTE,2,1.2
151026,08/01/2021,18:22:00,BAGUETTE,1,0.9
151027,01/08/2021,18:23:00,BANETTINE,1,0.6
151027,08/01/2021,18:23:00,COOKIE,2,1
151027,08/01/2021,18:23:00,PAIN CHOCO AMANDES,1,1.5
151028,08/01/2021,18:26:00,COUPE,1,0.15
151029,08/01/2021,18:28:00,BOULE 200G,1,"1,1"
151031,08/01/2021,18:39:00,GAL POMME 4P,1,8
151033,08/01/2021,18:40:00,CAMPAGNE,1,1.8
151034,08/01/2021,18:48:00,TRADITIONAL BAGUETTE,1,1.2
151036,08/01/2021,00:00:00,PAIN CHOCO AMANDES,1,1.5
151037,08/01/2021,18:50:00,FONDANT CHOCOLAT,1,2.5
151044,09/01/2021,08:42:00,PAIN AU CHOCOLAT,1,1.2
151045,09/01/2021,09:04:00,PAIN AU CHOCOLAT,2,1.2
151047,09/01/2021,09:07:00,MOISSON,1,2
151047,09/01/2021,09:07:00,BANETTE,1,"1,05"
151049,09/01/2021,09:11:00,TRADITIONAL BAGUETTE,-1,1.2
151051,09/01/2021,9:37 AM,  DIVERS VIENNOISERIE  ,1,4
151052,09/01/2021,09:46:00,TRADITIONAL BAGUETTE,2,1.2
151052,09/01/2021,09:46:00,PAIN AU CHOCOLAT,1,1.2
151052,09/01/2021,09:46:00,CROISSANT,1,1.1
151054,09/01/2021,09:51:00,COUPE,1,0.15
151054,09/01/2021,09:51:00,CROISSANT,4,1.1
151055,09/01/2021,09:53:00,PAIN,1,1.15
151055,09/01/2021,09:53:00,BOULE 400G,1,1.5
151056,09/01/2021,09:57:00,BANETTINE,1,0.6
151056,09/01/2021,09:57:00,TRADITIONAL BAGUETTE,1,1.2
151059,09/01/2021,01:15:00,TRADITIONAL BAGUETTE,2,1.2
151059,09/01/2021,10:15:00,PAIN AU CHOCOLAT,7,1.2
151066,09/01/2021,10:33:00,PAIN,2,1.15
151068,09/01/2021,10:43:00,BANETTINE,2,0.6
151071,09/01/2021,10:52:00,TRADITIONAL BAGUETTE,2,1.2
151074,09/01/2021,10:58:00,TRADITIONAL BAGUETTE,1,1.2
151075,09/01/2021,11:00:00,PAIN AU CHOCOLAT,1,1.2
151077,09/01/2021,11:09:00,BANETTE,1,1.05
151078,09/01/2021,11:13:00,unknown,2,€ 1.2
151078,09/01/2021,11:13:00,CAMPAGNE,1,1.8
151080,09/01/2021,11:19:00,TRADITIONAL BAGUETTE,1,1.2
151081,09/01/2021,11:20:00,BAGUETTE,2,0.9
151083,09/01/2021,11:22:00,unknown,1,0.6
151084,09/01/2021,11:24:00,TRADITIONAL BAGUETTE,6,1.2
151091,09/01/2021,11:38:00,VIK BREAD,1,2.5
151091,09/01/2021,11:38:00,COUPE,1,0.15
151091,09/01/2021,11:38:00,CAMPAGNE,1,1.8
151092,09/01/2021,9:37 AM,DIVERS VIENNOISERIE,3,4
151093,09/01/2021,11:47:00,COUPE,1,0.15
151096,09/01/2021,11:53:00,BAGUETTE,1,0.9
151098,09/01/2021,11:57:00,TRADITIONAL BAGUETTE,1,1.2
151099,09/01/2021,11:58:00,BANETTE,2,1.05
151100,09/01/2021,11:58:00,TRADITIONAL BAGUETTE,1,1.2
151102,09/01/2021,12:01:00,CEREAL BAGUETTE,2,1.25
151104,09/01/2021,12:03:00,SPECIAL BREAD KG,1,4.8
151105,09/01/2021,12:04:00,CEREAL BAGUETTE,2,1.25
151106,09/01/2021,12:05:00,CEREAL BAGUETTE,2,1.25
151107,09/01/2021,12:05:00,BOULE 200G,1,1.1
151107,09/01/2021,12:05:00,BANETTE,1,1.05
151107,09/01/2021,12:05:00,coupe,1,0.15
151109,09/01/2021,01:15:00,CAMPAGNE,1,1.8
151109,09/01/2021,12:08:00,TRADITIONAL BAGUETTE,1,1.2
151109,09/01/2021,12:08:00,COUPE,1,0.15
151110,09/01/2021,12:09:00,COUPE,1,0.15
151110,09/01/2021,12:09:00,MOISSON,1,2
151111,09/01/2021,12:10:00,TRADITIONAL BAGUETTE,2,1.2
151112,09/01/2021,12:11:00,BRIOCHE,1,5
151112,09/01/2021,12:11:00,TRADITIONAL BAGUETTE,1,1.2
151113,09/01/2021,12:12:00,SEIGLE,1,1.8
151114,09/01/2021,12:13:00,GAL POIRE CHOCO 6P,1,12
151116,09/01/2021,12:16:00,TRADITIONAL BAGUETTE,3,1.2
151119,09/01/2021,12:19:00,COMPLET,1,1.5
151119,09/01/2021,12:19:00,  TRADITIONAL BAGUETTE  ,1,1.2
151120,09/01/2021,12:21:00,GAL POIRE CHOCO 4P,1,8
151121,09/01/2021,12:21:00,TRADITIONAL BAGUETTE,2,1.2
151122,09/01/2021,12:22:00,TRADITIONAL BAGUETTE,1,1.2
151122,09/01/2021,12:22:00,  PAIN  ,1,1.15
151123,09/01/2021,9:37 AM,GAL POMME 4P,1,8
151125,09/01/2021,12:27:00,COUPE,1,0.15
151125,09/01/2021,12:27:00,GAL FRANGIPANE 4P,1,8
151126,09/01/2021,12:28:00,TRADITIONAL BAGUETTE,1,1.2
151127,09/01/2021,12:28:00,TRADITIONAL BAGUETTE,1,1.2
151129,09/01/2021,12:32:00,PAIN AU CHOCOLAT,1,1.2
151130,09/01/2021,12:34:00,BOULE 400G,1,1.5
151132,09/01/2021,12:36:00,GAL FRANGIPANE 4P,1,8
151132,09/01/2021,12:36:00,TRADITIONAL BAGUETTE,1,1.2
151133,09/01/2021,12:37:00,BANETTINE,1,0.6
151138,09/01/2021,12:48:00,SPECIAL BREAD,1,2.4
151139,09/01/2021,12:48:00,TRADITIONAL BAGUETTE,1,1.2
151140,09/01/2021,12:50:00,,1,0.15
151141,09/01/2021,12:53:00,COOKIE,1,"1,0"
151141,09/01/2021,12:53:00,VIK BREAD,1,
151143,09/01/2021,12:56:00,  TRADITIONAL BAGUETTE  ,1,1.2
151144,09/01/2021,12:56:00,TRADITIONAL BAGUETTE,-1,1.2
151145,09/01/2021,00:00:00,GRAND FAR BRETON,1,7
